User Id,Quesh,Quesh Date,Respo,Respo Rating,Respo Comment
229,What is something that you've learned to accept?,2022-02-20,sometimes you have to let friends go to be the best version of yourself,4,...
228,What is something that you've learned to accept?,2022-02-20,Life is seldom what you thought it would be. ,4,...
227,What is something that you've learned to accept?,2022-02-20,Hogwarts is not real :(,4,...
226,What is something that you've learned to accept?,2022-02-20,"That I am here and not there. That sounds really obtuse aloud! The story is I have this tendency to daydream that self-love and self-realization would be easier had I not ended up back in my hometown. But I chose to come back here. I am here. Not there. And Ive had to learn to accept that fact so I can start to learn to love & be proud of who I am here right now, and by extension, learn to heal & forgive & even maybe be proud of parts of who I used to be when I was here back then.",3,...
147,What is something that you've learned to accept?,2022-02-20,That Oscar Isaac will never be my boyfriend. ?,3,...
225,What is something that you've learned to accept?,2022-02-20,Getting old is inevitable but how you are when you are old is a choice,0,
224,What is something that you've learned to accept?,2022-02-20,Clutter is a part of me. ,0,
223,What is something that you've learned to accept?,2022-02-20,"That everyone has their shit. Everyone is flawed, in different ways.",5,...
222,What is something that you've learned to accept?,2022-02-20,theres not enough hours in a day to work and rest if all you wanna do is work,3,...
170,What is something that you've learned to accept?,2022-02-20,"That I can't teach my husband how to clean after himself!!!? 2 years in of living together I accept that sweeping the floors, washing dishes and cleaning is my duty, we have come to the conclusion that he regularly takes out the trash! ",3,...
172,What is something that you've learned to accept?,2022-02-20,"Dont worry about what you cannot control. Our focus and energy needs to be on the things we can control. Attitude, perception, effort, mindset, focus - those are the things we can control. ??",3,...
6,What is something that you've learned to accept?,2022-02-20,That Im not perfect! ,5,...
114,What is something that you've learned to accept?,2022-02-20,Ive learned to accept I cant stress over situations I have no control it has been difficult but I think Im coming to terms with it ,5,...
163,What is something that you've learned to accept?,2022-02-20,"In all honesty, I dont think I can learn to accept things if they dont meet the standards I have in my life. That only really applies to myself and my goals; my passions will always have no limits, no ceiling to stop me from growing. What I have learned to accept though is that I deserve love and happiness just as much as the next person. ",5,...
