Quesh,Quesh Date,Avg Rating,Total Respo,Type,sent_ans,sent_quesh,charcount
What is something that you've learned to accept?,2022-02-20,3.78,23,2,1.565217391304348,1.0,113.8695652173913
What was your favorite food growing up and what is it now?,2022-02-19,4.19,16,2,2.75,3.0,93.4375
What form of art fascinates you most?,2022-02-18,4.26,23,2,3.0434782608695654,3.0,102.0
What is something that comes naturally to you?,2022-02-17,4.11,19,2,2.421052631578948,0.0,98.57894736842104
Crunchy Peanut Butter or Smooth?,2022-02-16,4.0,25,1,0.92,0.0,40.52
"What African-American artist, inventor or hero do you admire?",2022-02-15,3.86,22,2,2.0454545454545454,5.0,76.22727272727273
Who do you love?,2022-02-14,4.13,24,2,3.5416666666666665,3.0,75.20833333333333
What Super Bowl commercial do you love?,2022-02-13,3.72,18,2,2.055555555555556,6.0,60.888888888888886
What do you love to do for others?,2022-02-12,4.14,22,2,7.136363636363637,3.0,111.0909090909091
What do you love about yourself?,2022-02-11,4.45,22,2,3.772727272727273,3.0,108.45454545454544
What place would you love to travel to right now?,2022-02-10,4.14,28,2,1.25,3.0,43.85714285714285
What kind of pizza do you love?,2022-02-09,3.79,29,2,4.103448275862069,3.0,93.48275862068964
What would you love to do this year?,2022-02-08,3.7,33,2,2.909090909090909,3.0,77.06060606060606
Who is someone funny you love?,2022-02-07,3.94,17,2,1.6470588235294117,7.0,53.94117647058823
What compliment do you love hearing?,2022-02-06,4.27,15,2,7.0,5.0,103.0
What do you love to do for yourself?,2022-02-05,4.33,18,2,3.0,3.0,93.61111111111111
What candy do you love?,2022-02-04,4.22,23,2,2.0434782608695654,3.0,60.52173913043478
What do you love that most people don't?,2022-02-03,4.25,20,2,1.1,3.0,53.45
What movie do you love to watch over and over?,2022-02-02,4.33,21,2,2.0476190476190474,3.0,92.28571428571428
What game do you love to play?,2022-02-01,4.18,17,2,2.764705882352941,3.0,63.70588235294117
What has been the best part of this month?,2022-01-31,4.18,17,2,2.235294117647059,3.0,78.88235294117646
Which skin care products do you use?,2022-01-30,3.59,17,2,1.4705882352941178,2.0,97.76470588235294
Blue Cheese or Ranch?,2022-01-29,3.79,19,1,0.1052631578947368,0.0,33.0
Which celebrity would you want as a best friend?,2022-01-28,4.47,17,2,2.823529411764706,5.0,53.94117647058823
What’s a delicious and healthy snack?,2022-01-27,4.25,20,2,1.75,5.0,50.35
Would you rather hire a housekeeper or a personal chef?,2022-01-26,3.94,17,1,2.3529411764705883,0.0,71.0
"Which is a greater challenge for you, nutrition or exercise?",2022-01-25,4.33,24,1,4.166666666666667,2.0,139.0
"As a child, what was your dream job?",2022-01-24,3.94,18,2,1.5555555555555556,1.0,80.11111111111111
What stereotype about your astrological sign is true for you?,2022-01-23,4.07,15,2,3.2,0.0,85.6
What was the best hotel experience you've had?,2022-01-22,3.83,18,2,5.166666666666667,3.0,152.27777777777777
"If you were a dog, which breed would you want to be?",2022-01-21,4.13,16,3,2.3125,1.0,50.0
When and where was your last flight?,2022-01-20,3.94,18,2,0.2777777777777778,0.0,53.0
