Quesh,Quesh Date,Total Respo,Avg Rating
"If a sandwich was named after you, what would be on it?",2022-01-10,0,
What have you learned about love?,2022-01-09,0,
What would you like younger generations to know?,2022-01-08,0,
Which one condiment could you not live without?,2022-01-07,18,3.78
"If you had to win a game to save your life, which would you play?",2022-01-06,18,3.67
What’s your favorite food combo?,2022-01-05,16,3.56
Which ad jingle comes to mind first?,2022-01-04,21,3.57
Which song(s) sum up your life?,2022-01-03,13,4.23
Who’s the most famous person you’ve ever met?,2022-01-02,16,4.06
What promise do you want to make yourself this year?,2022-01-01,16,3.75
What do you need to leave behind this year?,2021-12-31,18,4.33
What has been the biggest surprise of 2021?,2021-12-30,17,3.94
Which day of this year do you wish you could relive?,2021-12-29,17,4.24
What's the biggest lesson you learned this year?,2021-12-28,15,4.33
What 2021 accomplishment are you most proud of?,2021-12-27,20,4.25
"If you could ask 2022 one question, what would you ask?",2021-12-26,20,4.3
What matters most?,2021-12-25,19,4
Sugar Cookies or Chocolate Chip?,2021-12-24,25,4
What is something on your bucket list?,2021-12-23,20,4.15
The category is Person of the Year. Who are you nominating?,2021-12-22,14,3.79
What is the best part about winter?,2021-12-21,26,4.15
"If you were designing your dream office, what would be three must-haves?",2021-12-20,24,3.92
Ice Skating or Sledding?,2021-12-19,18,4
What was the best memory you made this autumn?,2021-12-18,15,4
What holiday song would you rate number one?,2021-12-17,20,3.3
There's 15 days of the year left. What is something you want to do?,2021-12-16,19,3.95
You've been gifted a free trip for 2022. Where are you going?,2021-12-15,17,4.12
"If you led your own country, what would be your top three rules?",2021-12-14,13,4.46
What is the best and worst ice cream flavor?,2021-12-13,19,3.84
What title would you give this chapter of your life?,2021-12-12,18,4.17
What is the most useful app?,2021-12-11,15,3.8
What is the best holiday movie?,2021-12-10,19,4
"If you were to give away one product to everyone, which would you choose?",2021-12-09,12,3.92
Would you rather move every year or live in the same town forever?,2021-12-08,24,3.63
What was your first job?,2021-12-07,16,4.44
What was the last concert you went to?,2021-12-06,20,3.65
Who is someone you look up to?,2021-12-05,14,3.64
"What do you want more, a quiet night in or a wild night out?",2021-12-04,24,3.54
What song have you listened to most this year?,2021-12-03,25,3.88
You're invited to a cookie swap! What type of cookies are you bringing?,2021-12-02,32,3.53
What is something you want to accomplish this month?,2021-12-01,21,3.43
What was the best thing that happened this month?,2021-11-30,14,3.93
What is something you want that money can't buy?,2021-11-29,19,3.79
What is something you learned this week?,2021-11-28,12,3.92
November or December?,2021-11-27,15,3.6
"On a scale from 1 to 10, how much do you enjoy shopping?",2021-11-26,17,3.35
What is something specific to this year that you are grateful for?,2021-11-25,16,3.75
What do you want for dinner tonight?,2021-11-24,21,3.71
"If you could invite one celebrity to your Thanksgiving this year, who would you choose?",2021-11-23,17,4.29
"So far, what has been the best month of the year?",2021-11-22,16,3.75
What is the best Thanksgiving side?,2021-11-21,17,3.82
"Which do you enjoy more, waking up early or staying up late?",2021-11-20,15,4
What is your favorite song by Adele?,2021-11-19,13,4.31
What was the last thing that made you feel good?,2021-11-18,11,4.55
What is the best fall pie?,2021-11-17,14,4.14
What are three must-haves in your dream home?,2021-11-16,15,4.33
What company inspires you most?,2021-11-15,6,4.5
How has November been for you so far?,2021-11-14,9,4.33
Who is the kindest person you know?,2021-11-13,7,4.71
What was your most memorable birthday?,2021-11-12,10,4.3
"If you could call yourself at 15 years old for a brief conversation, what would you tell yourself?",2021-11-11,10,4.1
Cake or Pie?,2021-11-10,12,4.08
"At the moment, do you tend to save more or spend?",2021-11-09,13,3.77
"If you could know the truth behind any one secret or mystery, what would it be?",2021-11-08,10,3.9
What do you wish you had more time to do?,2021-11-07,12,4.08
What fictional character do you most relate to?,2021-11-06,9,4.33
"In one song, how would you describe this week?",2021-11-05,11,4.55
"If you had the power to make one thing on Earth permanently free, what would it be?",2021-11-04,12,4.83
Would you rather eat every meal out or every meal at home?,2021-11-03,13,4.54
What was the best thing that happened last month?,2021-11-02,9,4.11
What is your goal for this month?,2021-11-01,12,4.25
What’s the scariest movie you’ve seen?,2021-10-30,14,4.29
What is the best and worst candy to receive on Halloween?,2021-10-31,11,4.45
What is your favorite website?,2021-10-29,9,3.33
What's your superpower?,2021-10-28,14,4.29
What is something you want to do before the end of the year?,2021-10-27,14,4.43
October or November?,2021-10-26,21,3.52
What was the highlight of your weekend?,2021-10-25,14,3.93
"What is a food you didn't like to eat as a child, but love to eat as an adult?",2021-10-24,13,4.23
"If you had your own talk show, who would be your first guest and what would you want to talk about?",2021-10-23,8,4.5
What would be the best Halloween costume for this year?,2021-10-22,14,4.07
"If you could be a professional athlete in any one sport, which would you choose?",2021-10-21,12,4.17
What memory will always make you laugh?,2021-10-20,9,4.44
What song(s) can’t you help but sing along to?,2021-10-19,11,4.91
What's your favorite thing about your hometown?,2021-10-18,9,3.78
What has been the highlight of your week?,2021-10-17,13,4.38
What is the most attractive trait?,2021-10-16,11,4.36
"On a scale from 1 to 10, how healthy do you feel?",2021-10-15,11,4.27
"If you had the chance to meet your future self, what would you ask first?",2021-10-14,11,4.09
What are the best type of M&M's?,2021-10-13,16,3.94
What area of your life should you pay more attention to?,2021-10-12,12,3.92
What was the most memorable vacation you’ve ever been on?,2021-10-11,11,4.09
What is something that positively affects your mental health?,2021-10-10,9,4.78
"If you could only listen to one singer or band for the rest of your life, who would you choose?",2021-10-09,5,4.4
"If you had the world’s attention for 30 seconds, what would you say?",2021-10-08,8,4.38
What has been the best decision you've ever made?,2021-10-07,11,4
What weird food combination do you enjoy most?,2021-10-06,14,3.86
Who has been your best teacher and why?,2021-10-05,18,4.5
Homemade Tacos or Restaurant Tacos?,2021-10-04,10,4.6
Which movie is the most quotable?,2021-10-03,8,4.75
