Quesh,Quesh Date,Total Respo,Avg Rating,Cluster
"If a sandwich was named after you, what would be on it?",1/10/2022,0,,3
What have you learned about love?,1/9/2022,0,,2
What would you like younger generations to know?,1/8/2022,0,,2
Which one condiment could you not live without?,1/7/2022,18,3.78,2
"If you had to win a game to save your life, which would you play?",1/6/2022,18,3.67,3
What’s your favorite food combo?,1/5/2022,16,3.56,2
Which ad jingle comes to mind first?,1/4/2022,21,3.57,2
Which song(s) sum up your life?,1/3/2022,13,4.23,2
Who’s the most famous person you’ve ever met?,1/2/2022,16,4.06,2
What promise do you want to make yourself this year?,1/1/2022,16,3.75,2
What do you need to leave behind this year?,12/31/2021,18,4.33,2
What has been the biggest surprise of 2021?,12/30/2021,17,3.94,2
Which day of this year do you wish you could relive?,12/29/2021,17,4.24,2
What's the biggest lesson you learned this year?,12/28/2021,15,4.33,2
What 2021 accomplishment are you most proud of?,12/27/2021,20,4.25,2
"If you could ask 2022 one question, what would you ask?",12/26/2021,20,4.3,3
What matters most?,12/25/2021,19,4,2
Sugar Cookies or Chocolate Chip?,12/24/2021,25,4,1
What is something on your bucket list?,12/23/2021,20,4.15,2
The category is Person of the Year. Who are you nominating?,12/22/2021,14,3.79,2
What is the best part about winter?,12/21/2021,26,4.15,2
"If you were designing your dream office, what would be three must-haves?",12/20/2021,24,3.92,3
Ice Skating or Sledding?,12/19/2021,18,4,1
What was the best memory you made this autumn?,12/18/2021,15,4,2
What holiday song would you rate number one?,12/17/2021,20,3.3,2
There's 15 days of the year left. What is something you want to do?,12/16/2021,19,3.95,2
You've been gifted a free trip for 2022. Where are you going?,12/15/2021,17,4.12,3
"If you led your own country, what would be your top three rules?",12/14/2021,13,4.46,3
What is the best and worst ice cream flavor?,12/13/2021,19,3.84,2
What title would you give this chapter of your life?,12/12/2021,18,4.17,2
What is the most useful app?,12/11/2021,15,3.8,2
What is the best holiday movie?,12/10/2021,19,4,2
"If you were to give away one product to everyone, which would you choose?",12/9/2021,12,3.92,3
Would you rather move every year or live in the same town forever?,12/8/2021,24,3.63,2
What was your first job?,12/7/2021,16,4.44,2
What was the last concert you went to?,12/6/2021,20,3.65,2
Who is someone you look up to?,12/5/2021,14,3.64,2
"What do you want more, a quiet night in or a wild night out?",12/4/2021,24,3.54,2
What song have you listened to most this year?,12/3/2021,25,3.88,2
You're invited to a cookie swap! What type of cookies are you bringing?,12/2/2021,32,3.53,2
What is something you want to accomplish this month?,12/1/2021,21,3.43,2
What was the best thing that happened this month?,11/30/2021,14,3.93,2
What is something you want that money can't buy?,11/29/2021,19,3.79,2
What is something you learned this week?,11/28/2021,12,3.92,2
November or December?,11/27/2021,15,3.6,1
"On a scale from 1 to 10, how much do you enjoy shopping?",11/26/2021,17,3.35,2
What is something specific to this year that you are grateful for?,11/25/2021,16,3.75,2
What do you want for dinner tonight?,11/24/2021,21,3.71,2
"If you could invite one celebrity to your Thanksgiving this year, who would you choose?",11/23/2021,17,4.29,3
"So far, what has been the best month of the year?",11/22/2021,16,3.75,2
What is the best Thanksgiving side?,11/21/2021,17,3.82,2
"Which do you enjoy more, waking up early or staying up late?",11/20/2021,15,4,2
What is your favorite song by Adele?,11/19/2021,13,4.31,2
What was the last thing that made you feel good?,11/18/2021,11,4.55,2
What is the best fall pie?,11/17/2021,14,4.14,2
What are three must-haves in your dream home?,11/16/2021,15,4.33,2
What company inspires you most?,11/15/2021,6,4.5,2
How has November been for you so far?,11/14/2021,9,4.33,2
Who is the kindest person you know?,11/13/2021,7,4.71,2
What was your most memorable birthday?,11/12/2021,10,4.3,2
"If you could call yourself at 15 years old for a brief conversation, what would you tell yourself?",11/11/2021,10,4.1,3
Cake or Pie?,11/10/2021,12,4.08,1
"At the moment, do you tend to save more or spend?",11/9/2021,13,3.77,2
"If you could know the truth behind any one secret or mystery, what would it be?",11/8/2021,10,3.9,3
What do you wish you had more time to do?,11/7/2021,12,4.08,2
What fictional character do you most relate to?,11/6/2021,9,4.33,2
"In one song, how would you describe this week?",11/5/2021,11,4.55,2
"If you had the power to make one thing on Earth permanently free, what would it be?",11/4/2021,12,4.83,3
Would you rather eat every meal out or every meal at home?,11/3/2021,13,4.54,2
What was the best thing that happened last month?,11/2/2021,9,4.11,2
What is your goal for this month?,11/1/2021,12,4.25,2
What’s the scariest movie you’ve seen?,10/30/2021,14,4.29,2
What is the best and worst candy to receive on Halloween?,10/31/2021,11,4.45,2
What is your favorite website?,10/29/2021,9,3.33,2
What's your superpower?,10/28/2021,14,4.29,2
What is something you want to do before the end of the year?,10/27/2021,14,4.43,2
October or November?,10/26/2021,21,3.52,1
What was the highlight of your weekend?,10/25/2021,14,3.93,2
"What is a food you didn't like to eat as a child, but love to eat as an adult?",10/24/2021,13,4.23,2
"If you had your own talk show, who would be your first guest and what would you want to talk about?",10/23/2021,8,4.5,3
What would be the best Halloween costume for this year?,10/22/2021,14,4.07,2
"If you could be a professional athlete in any one sport, which would you choose?",10/21/2021,12,4.17,2
What memory will always make you laugh?,10/20/2021,9,4.44,2
What song(s) can’t you help but sing along to?,10/19/2021,11,4.91,2
What's your favorite thing about your hometown?,10/18/2021,9,3.78,2
What has been the highlight of your week?,10/17/2021,13,4.38,2
What is the most attractive trait?,10/16/2021,11,4.36,2
"On a scale from 1 to 10, how healthy do you feel?",10/15/2021,11,4.27,
"If you had the chance to meet your future self, what would you ask first?",10/14/2021,11,4.09,3
