User Id,Quesh,Quesh Date,Respo
6,Which one condiment could you not live without?,2022-01-07,Ketchup 
117,Which one condiment could you not live without?,2022-01-07,Ketchup
48,Which one condiment could you not live without?,2022-01-07,Honey mustard
51,Which one condiment could you not live without?,2022-01-07,"Controversial Answer : Mayonnaise First instinct was to say Hot Sauce, but I can use a variety of spices to give me any hot flavor I want. Mayonnaise though? Thats its own deal. Subs, sandwiches, burgers, pasta salad totally unique & really no substitute for the job it does. Im not saying its my favorite (ranch, bbq sauce, honey mustard) but I think its pretty irreplaceable "
14,Which one condiment could you not live without?,2022-01-07,Ketchup unless salt can be classified as a condiment 
81,Which one condiment could you not live without?,2022-01-07,If that is cottage cheese. That is definitely a condiment I can do without 
67,Which one condiment could you not live without?,2022-01-07,Mayo ? I know thats gross but I fucking love it. Judge me! ??
118,Which one condiment could you not live without?,2022-01-07,Love that or ranch
152,Which one condiment could you not live without?,2022-01-07,I like a good aoili. But probably anything ketchup based! 
5,Which one condiment could you not live without?,2022-01-07,Cream Cheese ??????
75,Which one condiment could you not live without?,2022-01-07,Ranch
4,Which one condiment could you not live without?,2022-01-07,"Old Me: Sriracha 2022 Me: Habanero Sauce ?? To summarize, hot sauce ?"
88,Which one condiment could you not live without?,2022-01-07,"Soy sauce ? Because its so versatile (cooking, dipping and can be mix with other spices) "
22,Which one condiment could you not live without?,2022-01-07,soy sauce ?
130,Which one condiment could you not live without?,2022-01-07,Piccalily 
15,Which one condiment could you not live without?,2022-01-07,Theres a blackberry farm smoked onion jam Im just obsessed with right now and I use that as a salad dressing or for anything
156,Which one condiment could you not live without?,2022-01-07,? I mean I really dont feel this way with any condiments. I guess honey mustard since it can duel as a dip and a salad dressing. 
11,Which one condiment could you not live without?,2022-01-07,Hot sauce. Hands down. ? ? ? 
123,"If you had to win a game to save your life, which would you play?",2022-01-06,Beer pong with tequila instead of beer. 
5,"If you had to win a game to save your life, which would you play?",2022-01-06,Family Feud ? with~MY MAN?? Steve Harvey!
14,"If you had to win a game to save your life, which would you play?",2022-01-06,Ohh thats tough because games are based on luck/probability and-or your competitor(s) Anyway Id probably take the gamble and say Monopoly. Its a game that can go on for hours and you can usually come back from behind to win Or bloody knuckles 
51,"If you had to win a game to save your life, which would you play?",2022-01-06,Lets do some good ol fashion NFL Blitz.. sounds pretty adrenaline pumping ??
6,"If you had to win a game to save your life, which would you play?",2022-01-06,Gin! 
48,"If you had to win a game to save your life, which would you play?",2022-01-06,Spades
77,"If you had to win a game to save your life, which would you play?",2022-01-06,Im not that good at most games. This will be hard to say but maybe Spade
144,"If you had to win a game to save your life, which would you play?",2022-01-06,TFT
11,"If you had to win a game to save your life, which would you play?",2022-01-06,Word jumble! 
15,"If you had to win a game to save your life, which would you play?",2022-01-06,Uno probably thats all I can think of
156,"If you had to win a game to save your life, which would you play?",2022-01-06,Mario kart on the old N64 or SSX Tricky on PS2 
29,"If you had to win a game to save your life, which would you play?",2022-01-06,Horse! 
67,"If you had to win a game to save your life, which would you play?",2022-01-06,Super smash bros 
157,"If you had to win a game to save your life, which would you play?",2022-01-06,Sudoku! 
114,"If you had to win a game to save your life, which would you play?",2022-01-06,Is there a game that help you control your mind again negative thoughts??? ??
22,"If you had to win a game to save your life, which would you play?",2022-01-06,mini golf ?
134,"If you had to win a game to save your life, which would you play?",2022-01-06,Skipbo
4,"If you had to win a game to save your life, which would you play?",2022-01-06,A crossword puzzle ?
138,What’s your favorite food combo?,2022-01-05,Fries and Steak
5,What’s your favorite food combo?,2022-01-05,"Sardines, Sriracha & Saltine Crackers! Yummy for the Tummy! ?????"
22,What’s your favorite food combo?,2022-01-05,pizza & ranch ??
14,What’s your favorite food combo?,2022-01-05,Flavor combo: sweet and salty
134,What’s your favorite food combo?,2022-01-05,Peanut butter and chocolate is pretty classic.
67,What’s your favorite food combo?,2022-01-05,Avocado + hot sauce 
81,What’s your favorite food combo?,2022-01-05,Bagel and cream cheese 
118,What’s your favorite food combo?,2022-01-05,Chicken Chesapeake. Crab dip stuffed in chicken breast ???
130,What’s your favorite food combo?,2022-01-05,Salmon and thousand island dressing on a salad
31,What’s your favorite food combo?,2022-01-05,"Hmmmmm perhaps cheese + bread, or bread + cheese, or, CHEESE with a splash of bread. You know, pizza, grilled cheese, any of the worlds wonderful cultural rendition of cheese in a baked pocket/bun-we all have a version of this deliciousness. Well, now Im off to find a cheesy English muffin of some kind with a hint of egg (need protein to go with my carbs). Bye. "
51,What’s your favorite food combo?,2022-01-05,Steak & cheese My wife & I have a joke that I knew she was the one when I heard her order pickles on her steak & cheese when we went out to lunch the first time. So romantic 
