Quesh,Quesh Date,Total Respo,Avg Rating,sent,charcount
Which movie is the most quotable?,10/3/2021,8,4.75,-0.375,46.625
Homemade Tacos or Restaurant Tacos?,10/4/2021,10,4.6,0.3,38.2
Who has been your best teacher and why?,10/5/2021,18,4.5,5.944444444,202.7777778
What weird food combination do you enjoy most?,10/6/2021,14,3.86,1.285714286,47.28571429
What has been the best decision you've ever made?,10/7/2021,11,4,1.636363636,108.5454545
"If you had the world’s attention for 30 seconds, what would you say?",10/8/2021,8,4.38,3.875,129.25
"If you could only listen to one singer or band for the rest of your life, who would you choose?",10/9/2021,5,4.4,1.6,52.2
What is something that positively affects your mental health?,10/10/2021,9,4.78,0.888888889,46.33333333
What was the most memorable vacation you’ve ever been on?,10/11/2021,11,4.09,1.636363636,89.63636364
What area of your life should you pay more attention to?,10/12/2021,12,3.92,2,66.41666667
What are the best type of M&M's?,10/13/2021,16,3.94,0.5625,18.9375
"If you had the chance to meet your future self, what would you ask first?",10/14/2021,11,4.09,2.090909091,34.18181818
"On a scale from 1 to 10, how healthy do you feel?",10/15/2021,11,4.27,2.181818182,52.72727273
What is the most attractive trait?,10/16/2021,11,4.36,2.090909091,39.09090909
What has been the highlight of your week?,10/17/2021,13,4.38,4.384615385,72.76923077
What's your favorite thing about your hometown?,10/18/2021,9,3.78,0.666666667,43.66666667
What song(s) can’t you help but sing along to?,10/19/2021,11,4.91,0.909090909,82.63636364
What memory will always make you laugh?,10/20/2021,9,4.44,1,107.1111111
"If you could be a professional athlete in any one sport, which would you choose?",10/21/2021,12,4.17,1.333333333,34.91666667
What would be the best Halloween costume for this year?,10/22/2021,14,4.07,0.571428571,44.28571429
"If you had your own talk show, who would be your first guest and what would you want to talk about?",10/23/2021,8,4.5,3.5,89.125
"What is a food you didn't like to eat as a child, but love to eat as an adult?",10/24/2021,13,4.23,1.538461538,49.46153846
What was the highlight of your weekend?,10/25/2021,14,3.93,4.214285714,70.28571429
October or November?,10/26/2021,21,3.52,1.19047619,42.42857143
What is something you want to do before the end of the year?,10/27/2021,14,4.43,1.5,43.85714286
What's your superpower?,10/28/2021,14,4.29,2.785714286,70.07142857
What is your favorite website?,10/29/2021,9,3.33,2.222222222,76.11111111
What’s the scariest movie you’ve seen?,10/30/2021,14,4.29,-0.5,54.35714286
What is the best and worst candy to receive on Halloween?,10/31/2021,11,4.45,0.818181818,42.18181818
What is your goal for this month?,11/1/2021,12,4.25,1.083333333,63.25
What was the best thing that happened last month?,11/2/2021,9,4.11,3.888888889,80.88888889
Would you rather eat every meal out or every meal at home?,11/3/2021,13,4.54,2.153846154,63.61538462
"If you had the power to make one thing on Earth permanently free, what would it be?",11/4/2021,12,4.83,0.083333333,78.91666667
"In one song, how would you describe this week?",11/5/2021,11,4.55,0.909090909,33.81818182
What fictional character do you most relate to?,11/6/2021,9,4.33,1.222222222,81
What do you wish you had more time to do?,11/7/2021,12,4.08,1.916666667,51.08333333
"If you could know the truth behind any one secret or mystery, what would it be?",11/8/2021,10,3.9,-0.2,63.8
"At the moment, do you tend to save more or spend?",11/9/2021,13,3.77,0,73.61538462
Cake or Pie?,11/10/2021,12,4.08,1.25,39.83333333
"If you could call yourself at 15 years old for a brief conversation, what would you tell yourself?",11/11/2021,10,4.1,4.2,71.4
