Quesh,Quesh Date,Respo Rating,charcount
"Do you sleep on your back, side or belly?",2021-09-19,4.2,31.4
What is something you could never get enough of?,2021-09-20,4.625,34.25
Where is somewhere you want to go next summer?,2021-09-21,4.642857142857143,40.0
Which fall activity do you adore most?,2021-09-22,4.636363636363637,50.45454545454545
"On a scale from 1 to 10, how productive have you been lately?",2021-09-23,4.0,79.53846153846153
How do you want to spend the weekend?,2021-09-24,4.416666666666667,49.666666666666664
What piece of advice have you found most helpful?,2021-09-25,4.8,64.6
What is something you wish a smartphone could do?,2021-09-26,4.142857142857143,47.0
How would you describe your friends?,2021-09-27,4.8,46.2
How would your friends describe you?,2021-09-28,4.333333333333333,27.444444444444443
What is your favorite morning beverage?,2021-09-29,4.875,51.375
"If you were to create a podcast, what would it be about?",2021-09-30,4.75,94.875
What vegetable do you enjoy eating most?,2021-10-01,5.0,25.4
What do you wish you spent more time doing five years ago?,2021-10-02,5.0,86.8
Which movie is the most quotable?,2021-10-03,4.75,46.625
Homemade Tacos or Restaurant Tacos?,2021-10-04,4.6,38.2
Who has been your best teacher and why?,2021-10-05,4.5,202.77777777777777
What weird food combination do you enjoy most?,2021-10-06,3.857142857142857,47.285714285714285
What has been the best decision you've ever made?,2021-10-07,4.0,108.54545454545455
"If you had the world’s attention for 30 seconds, what would you say?",2021-10-08,4.375,129.25
"If you could only listen to one singer or band for the rest of your life, who would you choose?",2021-10-09,4.4,52.2
What is something that positively affects your mental health?,2021-10-10,4.777777777777778,46.333333333333336
What was the most memorable vacation you’ve ever been on?,2021-10-11,4.090909090909091,89.63636363636364
What area of your life should you pay more attention to?,2021-10-12,3.9166666666666665,66.41666666666667
What are the best type of M&M's?,2021-10-13,3.9375,18.9375
"If you had the chance to meet your future self, what would you ask first?",2021-10-14,4.090909090909091,34.18181818181818
"On a scale from 1 to 10, how healthy do you feel?",2021-10-15,4.2727272727272725,52.72727272727273
What is the most attractive trait?,2021-10-16,4.363636363636363,39.09090909090909
What has been the highlight of your week?,2021-10-17,4.384615384615385,72.76923076923077
What's your favorite thing about your hometown?,2021-10-18,3.7777777777777777,43.666666666666664
What song(s) can’t you help but sing along to?,2021-10-19,4.909090909090909,82.63636363636364
What memory will always make you laugh?,2021-10-20,4.444444444444445,107.11111111111111
"If you could be a professional athlete in any one sport, which would you choose?",2021-10-21,4.166666666666667,34.916666666666664
What would be the best Halloween costume for this year?,2021-10-22,4.071428571428571,44.285714285714285
"If you had your own talk show, who would be your first guest and what would you want to talk about?",2021-10-23,4.5,89.125
"What is a food you didn't like to eat as a child, but love to eat as an adult?",2021-10-24,4.230769230769231,49.46153846153846
What was the highlight of your weekend?,2021-10-25,3.9285714285714284,70.28571428571429
October or November?,2021-10-26,3.55,44.15
What is something you want to do before the end of the year?,2021-10-27,4.428571428571429,43.857142857142854
What's your superpower?,2021-10-28,4.285714285714286,70.07142857142857
What is your favorite website?,2021-10-29,3.3333333333333335,76.11111111111111
What’s the scariest movie you’ve seen?,2021-10-30,4.285714285714286,54.357142857142854
What is the best and worst candy to receive on Halloween?,2021-10-31,4.454545454545454,42.18181818181818
What is your goal for this month?,2021-11-01,4.25,63.25
What was the best thing that happened last month?,2021-11-02,4.111111111111111,80.88888888888889
Would you rather eat every meal out or every meal at home?,2021-11-03,4.538461538461538,63.61538461538461
"If you had the power to make one thing on Earth permanently free, what would it be?",2021-11-04,4.833333333333333,78.91666666666667
"In one song, how would you describe this week?",2021-11-05,4.545454545454546,33.81818181818182
What fictional character do you most relate to?,2021-11-06,4.333333333333333,81.0
What do you wish you had more time to do?,2021-11-07,4.083333333333333,51.083333333333336
"If you could know the truth behind any one secret or mystery, what would it be?",2021-11-08,3.9,63.8
"At the moment, do you tend to save more or spend?",2021-11-09,3.769230769230769,73.61538461538461
Cake or Pie?,2021-11-10,4.083333333333333,39.833333333333336
"If you could call yourself at 15 years old for a brief conversation, what would you tell yourself?",2021-11-11,4.1,71.4
What was your most memorable birthday?,2021-11-12,4.3,151.9
Who is the kindest person you know?,2021-11-13,4.714285714285714,81.42857142857143
How has November been for you so far?,2021-11-14,4.333333333333333,56.44444444444444
What company inspires you most?,2021-11-15,4.5,140.33333333333334
